7.6304	11.68	1975.5
7.7604	11.91	1978.5
7.8904	12.125	1980.5
8.0204	12.355	1982.5
8.1504	12.645	1984.5
8.2804	12.905	1987
8.4104	13.165	1989
8.5404	13.46	1991.5
8.6704	13.685	1993.5
8.8004	13.95	1996
8.9304	14.195	1997.5
9.0604	14.56	1999.5
9.1904	14.82	2002.5
9.3204	15.08	2003.5
9.4504	15.375	2006
9.5804	15.68	2008.5
9.7104	15.865	2010.5
9.8404	16.215	2013.5
9.9704	16.475	2016
10.1004	16.83	2017.5
10.2304	17.06	2019.5
10.3604	17.35	2022.5
10.4904	17.61	2024.5
10.6204	17.92	2026.5
10.7504	18.21	2029.5
10.8804	18.56	2031
11.0104	18.85	2033
11.1404	19.08	2037
11.2704	19.45	2037.5
11.4004	19.68	2040
11.5304	20.05	2042
11.6604	20.37	2044
11.7904	20.72	2045
11.9204	20.97	2048
12.0504	21.32	2051
12.1804	21.565	2053
12.3104	21.9	2054.5
12.4404	22.285	2056
12.5704	22.575	2059.5
12.7004	22.93	2061.5
12.8304	23.295	2063
12.9604	23.59	2064
13.0904	23.835	2067
13.2204	24.28	2069
13.3504	24.525	2071
13.4804	24.92	2073
13.6104	25.245	2075.5
13.7404	25.61	2077
13.8704	25.84	2079
14.0004	26.225	2082
14.1304	26.56	2085
14.2604	26.945	2085.5
14.3904	27.235	2089
14.5204	27.65	2089.5
14.6504	27.895	2091.5
14.7804	28.265	2093
14.9104	28.63	2096
15.0404	29.03	2098
15.1704	29.305	2099.5
15.3004	29.72	2102.5
15.4304	30.025	2104
15.5604	30.345	2105.5
15.6904	30.745	2107.5
15.8204	31.1	2110.5
15.9504	31.45	2112
16.0804	31.865	2114.5
16.2104	32.155	2116.5
16.3404	32.51	2117.5
16.4704	32.83	2120
16.6004	33.245	2122.5
16.7304	33.595	2125
16.8604	33.95	2127.5
16.9904	34.315	2128.5
17.1204	34.67	2130
17.2504	35.005	2132.5
17.3804	35.375	2135
17.5104	35.755	2136.5
17.6404	36.155	2138
17.7704	36.525	2139
17.9004	36.89	2142
18.0304	37.185	2144.5
18.1604	37.595	2145
18.2904	37.95	2148
18.4204	38.33	2150
18.5504	38.73	2151.5
18.6804	39.1	2152.5
18.8104	39.405	2154.5
18.9404	39.775	2157
19.0704	40.14	2159
19.2004	40.585	2160
19.3304	40.905	2163
19.4604	41.26	2165
19.5904	41.595	2167
19.7204	41.995	2168
19.8504	42.315	2171.5
19.9804	42.775	2173
20.1104	43.1	2175
20.2404	43.515	2176
20.3704	43.865	2178.5
20.5004	44.235	2180.5
20.6304	44.51	2182
20.7604	45	2183
20.8904	45.35	2185
21.0204	45.735	2186.5
21.1504	46.135	2188.5
21.2804	46.5	2190.5
21.4104	46.855	2191.5
21.5404	47.235	2195
21.6704	47.635	2197
21.8004	47.99	2198.5
21.9304	48.37	2200
22.0604	48.74	2202
22.1904	49.155	2202.5
22.3204	49.445	2204.5
22.4504	49.84	2206.5
22.5804	50.21	2208
22.7104	50.595	2209
22.8404	50.915	2212.5
22.9704	51.345	2213
23.1004	51.605	2215.5
23.2304	51.99	2217
23.3604	52.385	2218.5
23.4904	52.785	2219.5
23.6204	53.155	2221
23.7504	53.505	2223.5
23.8804	53.825	2225
24.0104	54.135	2227.5
24.1404	54.565	2229
24.2704	54.93	2230
24.4004	55.3	2232
24.5304	55.65	2233.5
24.6604	56.02	2236
24.7904	56.295	2237.5
24.9204	56.725	2238.5
25.0504	57.12	2239.5
25.1804	57.475	2241.5
25.3104	57.81	2242.5
25.4404	58.21	2244
25.5704	58.53	2244.5
25.7004	58.855	2247
25.8304	59.315	2248.5
25.9604	59.605	2250
26.0904	59.94	2251.5
26.2204	60.325	2253
26.3504	60.68	2254
26.4804	60.955	2256.5
26.6104	61.335	2257.5
26.7404	61.66	2259.5
26.8704	62.075	2261
27.0004	62.38	2263
27.1304	62.765	2263.5
27.2604	63.01	2265.5
27.3904	63.36	2267
27.5204	63.76	2268
27.6504	64.125	2269
27.7804	64.45	2270.5
27.9104	64.815	2272
28.0404	65.06	2273.5
28.1704	65.37	2275
28.3004	65.78	2275.5
28.4304	66.15	2277
28.5604	66.485	2278.5
28.6904	66.795	2280.5
28.8204	67.115	2282
28.9504	67.39	2283.5
29.0804	67.745	2284.5
29.2104	68.11	2286
29.3404	68.45	2287.5
29.4704	68.725	2289
29.6004	69.06	2291
29.7304	69.34	2292
29.8604	69.63	2292.5
29.9904	69.98	2295
30.1204	70.305	2296.5
30.2504	70.595	2296
30.3804	70.915	2299.5
30.5104	71.225	2299.5
30.6404	71.5	2301.5
30.7704	71.745	2302
30.9004	72.16	2303
31.0304	72.45	2304
31.1604	72.755	2304
31.2904	73.03	2307
31.4204	73.29	2307.5
31.5504	73.475	2309
31.6804	73.935	2310
31.8104	74.165	2311.5
31.9404	74.485	2311.5
32.0704	74.78	2313.5
32.2004	75.01	2315
32.3304	75.285	2315
32.4604	75.59	2316
32.5904	75.865	2317
32.7204	76.16	2318
32.8504	76.39	2318.5
32.9804	76.665	2320
33.1104	76.925	2320.5
33.2404	77.185	2321
33.3704	77.505	2322
33.5004	77.72	2324
33.6304	78.03	2324
33.7604	78.305	2324.5
33.8904	78.535	2326
34.0204	78.7	2327
34.1504	79.025	2328
34.2804	79.3	2329.5
34.4104	79.545	2330
34.5404	79.76	2331.5
34.6704	80.005	2333
34.8004	80.265	2331.5
34.9304	80.435	2334.5
35.0604	80.77	2333.5
35.1904	80.955	2335.5
35.3204	81.23	2335.5
35.4504	81.37	2337.5
35.5804	81.675	2337.5
35.7104	81.765	2339
35.8404	82.09	2339.5
35.9704	82.29	2340
36.1004	82.535	2340.5
36.2304	82.685	2342
36.3604	82.945	2342.5
36.4904	83.1	2343
36.6204	83.315	2344
36.7504	83.56	2345
36.8804	83.79	2344.5
37.0104	83.96	2345.5
37.1404	84.205	2345.5
37.2704	84.355	2347
37.4004	84.495	2348
37.5304	84.74	2348
37.6604	84.91	2349
37.7904	85.125	2349.5
37.9204	85.245	2350.5
38.0504	85.475	2351.5
38.1804	85.585	2351
38.3104	85.75	2353
38.4404	85.965	2353
38.5704	86.15	2353
38.7004	86.29	2354.5
38.8304	86.505	2354
38.9604	86.625	2354.5
39.0904	86.735	2356.5
39.2204	86.93	2356
39.3504	87.085	2357.5
39.4804	87.24	2356.5
39.6104	87.39	2358.5
39.7404	87.5	2358
39.8704	87.575	2359
40.0004	87.775	2359.5
40.1304	87.915	2360
40.2604	88.08	2360.5
40.3904	88.235	2360.5
40.5204	88.31	2361.5
40.6504	88.405	2361
40.7804	88.48	2362
40.9104	88.665	2362
41.0404	88.8	2362.5
41.1704	88.85	2363
41.3004	89	2362.5
41.4304	89.065	2363.5
41.5604	89.125	2364
41.6904	89.29	2363
41.8204	89.385	2365
41.9504	89.46	2364.5
42.0804	89.555	2364.5
42.2104	89.66	2365
42.3404	89.69	2365
42.4704	89.785	2365.5
42.6004	89.875	2366.5
42.7304	89.995	2366.5
42.8604	90.075	2366
42.9904	90.12	2367
43.1204	90.18	2366.5
43.2504	90.195	2367.5
43.3804	90.225	2367.5
43.5104	90.395	2367
43.6404	90.38	2367.5
43.7704	90.49	2367.5
43.9004	90.455	2368
44.0304	90.475	2368.5
44.1604	90.505	2369
44.2904	90.7	2367.5
44.4204	90.685	2368
44.5504	90.72	2368
44.6804	90.75	2368.5
44.8104	90.78	2368
44.9404	90.7	2368.5
45.0704	90.795	2368.5
45.2004	90.825	2367.5
45.3304	90.825	2368
45.4604	90.855	2368
45.5904	90.81	2368.5
45.7204	90.81	2370
45.8504	90.81	2369
45.9804	90.81	2369
46.1104	90.825	2369
46.2404	90.825	2368.5
46.3704	90.81	2369
46.5004	90.825	2368
46.6304	90.75	2368.5
